Date,Open,High,Low,Close,Adj Close,Volume
2016-04-13,5.330769,5.330769,5.330769,5.330769,4.915457,50960
2016-04-14,5.388461,5.515384,5.273076,5.361538,4.943829,8751340
2016-04-15,5.346153,5.669230,5.346153,5.500000,5.071503,8681140
2016-04-18,5.423076,5.634615,5.357692,5.384615,4.965109,5912400
2016-04-19,5.434615,5.434615,5.434615,5.434615,5.011214,7540
2016-04-20,5.407692,5.526923,5.353846,5.380769,4.961562,5369260
2016-04-22,5.350000,5.450000,5.261538,5.430769,5.007667,7881380
2016-04-25,5.446153,5.500000,5.384615,5.419230,4.997026,4871880
2016-04-26,5.492307,5.584615,5.461538,5.580769,5.145979,5422300
2016-04-27,5.576923,5.903846,5.576923,5.846153,5.390687,7861360
2016-04-28,5.869230,5.907692,5.750000,5.873076,5.415514,6022380
2016-04-29,5.876923,5.946153,5.792307,5.838461,5.383597,9751560
2016-05-02,5.815384,5.915384,5.776923,5.873076,5.415514,4252040
2016-05-03,5.811538,5.907692,5.776923,5.850000,5.394237,4073940
2016-05-04,5.861538,5.880769,5.707692,5.780769,5.330400,3450460
2016-05-05,5.842307,5.865384,5.703846,5.811538,5.358771,3981120
2016-05-06,5.823076,5.838461,5.723076,5.761538,5.312667,3226080
2016-05-09,5.784615,5.865384,5.680769,5.819230,5.365863,4045080
2016-05-10,5.865384,6.057692,5.769230,5.992307,5.525457,6348420
2016-05-11,6.080769,6.123076,5.946153,5.957692,5.493538,5518240
2016-05-12,6.038461,6.107692,5.926923,6.038461,5.568015,4654780
2016-05-13,6.000000,6.023076,5.838461,5.903846,5.443887,4663100
2016-05-16,5.838461,5.876923,5.757692,5.807692,5.355224,4040920
2016-05-17,5.750000,5.861538,5.746153,5.746153,5.298480,5912920
2016-05-18,5.703846,5.850000,5.600000,5.815384,5.362317,5386940
2016-05-19,5.788461,5.846153,5.611538,5.803846,5.351678,4953260
2016-05-20,5.792307,5.938461,5.788461,5.876923,5.419064,3249220
2016-05-23,5.826923,5.846153,5.653846,5.688461,5.245283,13097500
2016-05-24,5.719230,5.773076,5.661538,5.715384,5.270108,2640040
2016-05-25,5.746153,5.792307,5.684615,5.711538,5.266562,4421300
2016-05-27,5.734615,5.811538,5.615384,5.615384,5.177900,5348720
2016-05-30,5.646153,5.680769,5.523076,5.661538,5.220456,1731340
2016-05-31,5.626923,5.723076,5.534615,5.534615,5.103423,7846020
2016-06-01,5.569230,5.811538,5.569230,5.726923,5.280749,6690060
2016-06-02,5.726923,5.734615,5.611538,5.680769,5.238190,3488940
2016-06-03,5.715384,5.726923,5.561538,5.703846,5.259469,3572140
2016-06-06,5.734615,5.780769,5.650000,5.750000,5.302029,3417180
2016-06-07,5.711538,5.769230,5.676923,5.707692,5.263016,2643160
2016-06-08,5.719230,5.865384,5.703846,5.803846,5.351678,4327180
2016-06-09,5.819230,5.869230,5.684615,5.700000,5.255920,3609840
2016-06-10,5.692307,5.734615,5.480769,5.511538,5.082143,4203940
2016-06-13,5.426923,5.553846,5.415384,5.534615,5.103423,5338060
2016-06-14,5.534615,5.588461,5.342307,5.376923,4.958016,5820360
2016-06-15,5.392307,5.480769,5.300000,5.334615,4.919003,10693280
2016-06-16,5.307692,5.538461,5.307692,5.488461,5.060865,6240780
2016-06-17,5.461538,5.550000,5.346153,5.415384,4.993481,4932980
2016-06-20,5.480769,5.600000,5.423076,5.465384,5.039584,3096860
2016-06-21,5.446153,5.611538,5.388461,5.550000,5.117610,3990220
2016-06-22,5.523076,5.684615,5.480769,5.546153,5.114061,5715840
2016-06-23,5.550000,5.611538,5.480769,5.611538,5.174353,3201640
2016-06-24,5.426923,5.565384,5.373076,5.446153,5.021853,6485440
2016-06-27,5.419230,5.465384,5.315384,5.384615,4.965109,2981940
2016-06-28,5.419230,5.446153,5.242307,5.284615,4.872900,6614920
2016-06-29,5.315384,5.369230,5.261538,5.284615,4.896673,5740280
2016-06-30,5.280769,5.353846,5.200000,5.284615,4.896673,6383780
2016-07-01,5.315384,5.373076,5.223076,5.273076,4.885980,5738460
2016-07-04,5.276923,5.307692,5.203846,5.211538,4.828959,3524300
2016-07-05,5.211538,5.219230,5.107692,5.153846,4.775502,6254820
2016-07-06,5.146153,5.176923,5.061538,5.153846,4.775502,4810780
2016-07-07,5.153846,5.273076,5.153846,5.207692,4.825396,7772960
2016-07-08,5.234615,5.276923,5.176923,5.269230,4.882415,4953780
2016-07-11,5.296153,5.296153,5.153846,5.153846,4.775502,10199540
2016-07-12,5.184615,5.211538,5.069230,5.080769,4.707791,7493720
2016-07-13,5.084615,5.196153,5.080769,5.150000,4.771939,5237440
2016-07-14,5.188461,5.319230,5.184615,5.300000,4.910928,6346080
2016-07-15,5.319230,5.384615,5.296153,5.315384,4.925182,4477200
2016-07-18,5.315384,5.457692,5.211538,5.442307,5.042788,4798300
2016-07-19,5.442307,5.492307,5.357692,5.469230,5.067733,4348500
2016-07-20,5.480769,5.569230,5.430769,5.526923,5.121192,5696860
2016-07-21,5.515384,5.634615,5.492307,5.623076,5.210287,4138680
2016-07-22,5.615384,5.715384,5.561538,5.638461,5.224543,3745040
2016-07-25,5.650000,5.673076,5.507692,5.573076,5.163956,4382560
2016-07-26,5.573076,5.642307,5.526923,5.615384,5.203160,6986980
2016-07-27,5.615384,5.873076,5.557692,5.846153,5.416986,6485440
2016-07-28,5.846153,5.884615,5.730769,5.884615,5.452626,4731220
2016-07-29,5.884615,5.919230,5.792307,5.873076,5.441934,6675500
2016-08-01,5.861538,5.953846,5.792307,5.953846,5.529922,4950920
2016-08-02,5.903846,5.996153,5.880769,5.934615,5.512060,4717440
2016-08-03,5.900000,5.961538,5.873076,5.942307,5.519205,4338360
2016-08-04,5.961538,6.176923,5.919230,6.007692,5.579934,4984200
2016-08-05,6.038461,6.165384,5.976923,6.111538,5.676387,5247840
2016-08-08,6.092307,6.323076,6.080769,6.280769,5.833567,5705180
2016-08-09,6.280769,6.423076,6.280769,6.407692,5.951454,6012760
2016-08-10,6.407692,6.430769,6.311538,6.384615,5.930019,4767360
2016-08-11,6.353846,6.619230,6.353846,6.588461,6.119352,5527860
2016-08-12,6.615384,6.615384,6.453846,6.565384,6.097916,4938960
2016-08-15,6.592307,6.696153,6.561538,6.607692,6.137213,7128420
2016-08-16,6.573076,6.688461,6.507692,6.576923,6.108635,5766540
2016-08-17,6.576923,6.638461,6.376923,6.619230,6.147928,6553040
2016-08-18,6.634615,6.646153,6.550000,6.588461,6.119352,5510180
2016-08-19,6.561538,6.669230,6.523076,6.538461,6.072911,4096300
2016-08-22,6.538461,6.557692,6.323076,6.384615,5.930019,5473260
2016-08-23,6.376923,6.457692,6.323076,6.369230,5.915729,4000880
2016-08-24,6.315384,6.446153,6.284615,6.384615,5.930019,2780960
2016-08-25,6.353846,6.403846,6.230769,6.323076,5.872862,3588520
2016-08-26,6.296153,6.446153,6.130769,6.173076,5.733542,7429500
2016-08-29,6.250000,6.596153,6.250000,6.473076,6.012182,9001460
2016-08-30,6.430769,6.457692,6.338461,6.353846,5.901442,3626220
2016-08-31,6.353846,6.415384,6.215384,6.357692,5.905012,8984560
2016-09-01,6.350000,6.396153,6.300000,6.346153,5.894296,6912360
2016-09-02,6.400000,6.457692,6.346153,6.450000,5.990749,4584060
2016-09-05,6.461538,6.523076,6.357692,6.369230,5.915729,3184220
2016-09-06,6.415384,6.619230,6.350000,6.565384,6.097916,7624240
2016-09-08,6.576923,6.623076,6.465384,6.584615,6.115780,5632900
2016-09-09,6.469230,6.511538,6.273076,6.303846,5.855001,6080620
2016-09-12,6.250000,6.538461,6.226923,6.492307,6.030044,4702880
2016-09-13,6.388461,6.492307,6.296153,6.403846,5.947881,5426200
2016-09-14,6.365384,6.446153,6.280769,6.419230,5.962168,4163380
2016-09-15,6.384615,6.546153,6.338461,6.519230,6.055050,2976740
2016-09-16,6.376923,6.484615,6.196153,6.396153,5.940735,7013760
2016-09-19,6.403846,6.538461,6.384615,6.484615,6.022900,4108000
2016-09-20,6.526923,6.638461,6.492307,6.603846,6.133640,5089500
2016-09-21,6.615384,6.642307,6.476923,6.573076,6.105062,5238480
2016-09-22,6.642307,6.773076,6.619230,6.742307,6.262243,6957600
